,POS_1,POS_2,POS_3,POS_4,POS_5,POS_6,POS_7,POS_8,POS_9,POS_10,POS_11,POS_12,POS_13,POS_14,VEL_1,VEL_2,VEL_3,VEL_4,VEL_5,VEL_6,VEL_7,VEL_8,VEL_9,VEL_10,VEL_11,VEL_12,VEL_13,VEL_14,qw,qx,qy,qz,angular_vel_r,angular_vel_p,angular_vel_y,linear_acc_x,linear_acc_y,linear_acc_z,linear_vel_x,linear_vel_y,linear_vel_z,linear_pos_x,linear_pos_y,linear_pos_z,Motion_vec_1,Motion_vec_2,Motion_vec_3,Motion_vec_4,Motion_vec_5,Motion_vec_6,Motion_vec_7,Motion_vec_8,Motion_vec_9,Motion_vec_10,Motion_vec_11,Motion_vec_12,Motion_vec_13,Motion_vec_14,head_roll,head_pitch,head_yaw,com_roll,com_pitch,com_yaw,x_disp,y_disp,origin_disp,x_vel,y_vel,reward_forward,reward_healthy,reward_ctrl,reward_side,reward_unhealthy,reward_total
570,0.5860833859078118,1.3145169965645223,1.3089841108819582,-0.3324121550619579,-1.0659789880616002,-0.3282953307881824,-1.3102579191314476,-0.40615704551742177,1.1808737840600885,-1.311041275859603,0.7319772422114208,1.3128800377871823,-0.49754560082437077,1.3058346906135676,8.555016563906785,-0.09879081052772257,0.002821896018854377,0.2747025603910073,-6.237763099885418,-0.6887099648272376,0.005793928419419464,2.7304470091528454,-1.441139370708181,-0.00308604224501838,6.47510606430065,-0.04010423312795331,8.22620496637997,-0.07796970690076965,0.8620919865808181,0.02684379298956976,-0.21220130486902739,-0.45939898091196696,-3.733633054091796,-5.061238422313955,-1.1329885981949714,-4.652283323990507,-4.5375062099460255,3.515565178357189,-2.763744439969146,-0.9118886167804003,-0.49762331694330625,-5.080342289311265,1.960213610775938,1.694852831359723,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.05630028325157579,-0.4450560908110963,-0.9635111089136565,19.564102703196514,-5.325352350440311,-13.668692484915438,-0.0043131776612719275,-0.031026714921463916,0.8423478923410699,-0.043131776612719275,-0.31026714921463916,-2.5879065967631565,0.0,-0.0,-18.61602895287835,-0.0,-3274.7695672378454
571,1.3820014674343402,1.3118271888479274,1.2958795352147587,-0.3178871277447312,-1.3204865450197292,-0.37467858829912704,-1.311481373472135,-0.2123155416943435,1.083898537137208,-1.3108216280341562,1.1196295888082426,1.3120405960575676,0.4650882700150127,1.309479219415541,-0.8063445448732922,-0.0002351438578878599,-0.24331055076673683,0.11056240050056608,0.309202031396039,-0.39520249465820245,-0.013961445379225078,1.0125157476371072,-1.5892268935535294,0.008556819350341716,2.1695030624905463,0.004441434844423992,10.541733537902418,0.12286852603797634,0.7466282152600052,-0.14958018048439792,-0.42100414361463234,-0.49287684957119304,-0.6331445971853369,1.9615146243639827,-0.7129260727993361,1.52154994394469,0.6972693214362595,-3.392423903085438,-2.756136690249422,-0.908402270173219,-0.5145854364587334,-5.094122972762512,1.9556715994250722,1.6922799041774295,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.3273007876704753,-0.9212115359893945,-1.0784783155547828,33.47954257551022,-2.6182383045985307,-14.486770634755613,-0.005253244936849866,-0.023511824857478936,0.8811834864725372,-0.05253244936849866,-0.23511824857478936,-3.1519469621099194,0.0,-0.0,-14.107094914487362,-0.0,-3292.028609114443
572,1.3150156007995222,1.3116929738141958,1.3112427375482987,-0.2644992802104589,-1.310991925849903,-0.4161828803390706,-1.3102494591314524,-0.13920897735864063,0.9364513736526655,-1.31084275638923,1.324855165439136,1.3120841164665529,1.372368491053025,1.3066675534627044,-0.11324421329922703,0.0056120765056294954,-0.06208671212613443,1.1117501574041864,0.005253943115996312,0.02181217285391103,0.01659294327438411,0.2843413391868107,-1.0950710199692655,-0.003885848702079373,-0.43433821839311304,-0.0009095089057152114,-0.44184345090824695,-0.04450615552153048,0.7577206985507852,-0.09224230322131013,-0.3726215161336578,-0.527734693002452,0.3171819773809885,0.7954062382132715,-0.5003128143681113,6.1928327265219805,2.1708660840128906,7.202402927597968,-2.7251725266168125,-0.8975479397531545,-0.47857342182074364,-5.107748835395595,1.9511838597263063,1.6898870370683259,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.20099549137327308,-0.8119403149750926,-1.1499311078590466,38.48149257938606,0.2624106183270492,-14.673522785721504,0.0024140256848588226,-0.01590203994895001,0.8897144224403543,0.024140256848588226,-0.15902039948950009,1.4484154109152936,0.0,-0.0,-9.541223969370005,-0.0,-3300.1214176728977
573,1.3121163392842696,1.311833762358701,1.309510234054631,-0.10231070096777811,-1.310689545543496,-0.8450207481501173,-1.1818094531556442,-0.1418577404046181,0.47294284404822634,-0.8198696975584427,1.3119738023772807,1.3118521627627975,1.314488918974762,1.3040589372928935,-0.004232038349918792,-0.0010859483306585908,-0.006666788626865808,2.008946271981697,-0.002724628344948807,-7.033567856877068,2.369521899387818,-0.036779151038773945,-7.429028713099214,8.568506361252233,-0.022427777205210022,-0.0051117124087226235,-0.10247774788471306,-8.457002110940672e-06,0.7838801197296323,-0.010101019075022293,-0.4122988087823899,-0.46415473668048,3.68750003350862,0.165230851311281,0.6824806380614921,14.184635901823235,1.2012302971738165,6.349622093353158,-2.654249347107697,-0.8915417882672854,-0.4468253113539778,-5.1210200821311345,1.94672615078497,1.687652910511556,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.02179609911730983,-0.8896632741137467,-1.0015586121872817,40.06880751405778,-4.081225082151942,-9.435063646879986,-0.008120397295802717,-0.011355399723513737,0.8875330887810817,-0.08120397295802717,-0.11355399723513737,-4.87223837748163,0.0,-0.0,-6.813239834108242,-0.0,-3311.8068958844874
574,1.311965259352316,1.3117475931870255,1.26911427821076,0.020543378694045586,-1.310742473989361,-1.334159564407432,-0.8234727695290328,-0.07949232017373054,-0.3288623369646126,0.10308074625759991,1.3107287662431772,1.310224077218659,1.3119839303218206,1.3093211306859505,-0.0009379873820777499,0.0053674406069213615,-1.2515932982228344,0.08782532943266033,-0.01675010288730766,0.4963632058065513,2.5236709625614226,0.6813768323442372,-9.313966497422744,10.267259525836344,0.01189951794947967,0.061819410546259314,-0.00567787098463653,-0.025883809940632246,0.7270531284727098,0.1783760381249755,-0.4126295006034186,-0.518953401215038,0.3254832499303184,2.8190716708530035,-6.760956772363156,-0.8400178599160006,-1.9832969383968173,2.134403597893666,-2.6584494364072766,-0.9014582729592695,-0.4361532933645095,-5.13431232931317,1.9422188594201737,1.6854721440447336,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.39322589801044067,-0.9096323005374589,-1.1440209086569197,48.0366331283383,-6.057281733708691,-10.796625125235593,-0.006685582819741187,-0.010020762591101962,0.9104452336095912,-0.06685582819741187,-0.10020762591101962,-4.011349691844712,0.0,-0.0,-6.012457554661177,-0.0,-3321.8307031309932
575,1.3119477132443917,1.3119346723405223,1.1766404867840985,0.08345850349893937,-1.3119576919674187,-1.3108824600696058,-0.45741534906478476,-0.19991239990436813,-1.078037776906881,0.9300317793164408,1.3109656487979515,1.3118788374236872,1.3116220929360427,1.3090771061363986,0.00024708988110727447,-0.002797456362916667,-0.8434939626969975,0.7479858219104366,0.015589933185506513,0.0022054930259465698,3.4432842521088824,-1.2495223164540399,-7.155259511764624,7.947409287271959,0.007733764029564273,-0.004385101106255235,0.0022425359946326743,-0.0024345279495511887,0.659145831694394,0.12986423167927078,-0.43332018633649666,-0.6007459279958227,-1.5313568502926245,-2.76363820818661,-0.6501784896820613,-0.32753523111625793,-1.7953050665052879,1.9471308940620724,-2.660087112562858,-0.9104347982917959,-0.42641763889419915,-5.147612764875985,1.9376666854287146,1.6833400558502627,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.2939548844486789,-0.9808442529303242,-1.3598216965789394,40.21001200590751,-5.154252425963346,-20.098978276705573,0.00863158994700819,-0.0021088180462249806,0.9394629106775563,0.08631589947008189,-0.021088180462249806,5.1789539682049135,0.0,-0.0,-1.2652908277349884,-0.0,-3317.9170399905233
576,1.3119210010569615,1.3120502717431544,1.0915165341826063,0.08218590857814381,-1.3114934819097688,-1.3108432677915514,-0.3511889403603444,-0.29510277058398077,-1.064662474447296,1.3274033955606852,1.3113627451868852,1.311731891945095,1.3118651862396868,1.306115346075218,-0.00017524937940253157,0.00038096131218261784,-0.765212578194854,-0.7756419043655394,0.003982120361370559,-0.0019939391521384274,-0.8459284364051943,-0.5578716868956569,4.9430218425800545,-0.534046365498589,0.005303453109962593,9.713165152560937e-05,0.000714755888360441,-0.04956737957242667,0.6227898028322378,0.041433512183325125,-0.46546283845335484,-0.6275033637959903,0.16753435542644274,-0.8417830476775859,0.6717669458023461,3.588913157748855,10.92777444904934,12.376674352749008,-2.6421425467741138,-0.8557959260465492,-0.3645342671304541,-5.160823477609855,1.9333877057984818,1.6815173845146103,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09516418955187524,-1.0690716633420128,-1.441245163878565,33.44098212822437,-5.6387666397372405,-28.080269671995865,0.016648942554362334,0.006848348696905648,0.9593943917942439,0.16648942554362334,0.06848348696905648,9.9893655326174,0.0,-0.0,-4.109009218143389,-0.0,-3312.0366836760495
577,1.311926004290291,1.3120351258317278,1.0242289609446191,-0.38570143807491325,-1.3113507914433575,-1.3105778377503081,-0.4534717515060974,-0.28362295584520736,-0.3786329627974118,1.3120947743642217,1.310558321691523,1.3116990126536974,1.3118408566422384,1.3095544055042858,-0.001167680957644138,0.0038393325919171177,-0.632517506937086,-7.3436462175843715,0.002153706804235437,0.004287837671366111,-0.9605730215906886,0.6091014114676966,8.35429228581587,-0.026204418545363393,0.030344803292592433,0.0002600749029170299,-0.0020575592946032056,-0.002226854910743814,0.6867068392445396,0.1477401009992579,-0.42137268759566826,-0.5736302272718087,2.1536945603127076,4.4317934392512655,0.4817725184263679,1.6597074765591753,11.566173842581215,13.320136953247982,-2.6338440093913174,-0.7979650568336432,-0.2979335823642142,-5.1739926976568125,1.929397880514314,1.680027716602789,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33080800922689296,-0.9435045663520202,-1.2844276688095018,36.68869755038874,-8.87147087511324,-25.370427232012545,0.012357505983001449,0.0037436604902554294,0.9367366932359277,0.12357505983001449,0.037436604902554294,7.414503589800869,0.0,-0.0,-2.2461962941532576,-0.0,-3306.868376380402
578,1.3119081366974554,1.3120354107878986,0.9432671639259811,-1.2355197744552828,-1.3094029040297115,-1.311104770604962,-0.5179270862873502,-0.2798824465613686,0.5860182110013287,1.311045328206474,1.3111009686622739,1.311690863983298,1.311765794386132,1.3090422973602802,7.084420711415249e-05,-2.2491327647602584e-05,-0.8985834028545431,-9.024873859035067,0.0029169390995629246,-0.00340551681385101,0.08800371779705018,-0.7687805741931459,10.781243499770007,-0.011011504814331162,-3.529450274028636e-05,-0.001336541586780527,-0.001112775091640906,-0.0010420028070867275,0.7585970628806131,0.38093183715014106,-0.3188149298124532,-0.42163784479456584,3.618865037276665,5.136626321841068,1.0897393349877054,-1.8072164524777308,-5.628196292376449,3.5167800542846064,-2.6428800916537063,-0.8261060382955254,-0.28034968209279115,-5.18720709811508,1.9252673503228364,1.6786259681923252,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.829775039299031,-0.6944672120171937,-0.918443997361327,45.79990509016696,-9.37686553790103,-15.893128890943366,0.011701726630312326,-0.005436451240674822,0.9033617983121567,0.11701726630312326,-0.05436451240674822,7.021035978187395,0.0,-0.0,-3.2618707444048933,-0.0,-3303.109211146619
579,1.3119540556561275,1.311959100207508,0.8538593593404972,-1.288618402447834,-1.3114735452606745,-1.3111592087231307,-0.5384841700400682,-0.4371968511967172,0.954995289569103,1.3116991813185837,1.3012785925096384,1.311335540096364,1.3147307029061819,1.3087962604055037,0.00012206901995818033,0.00010581400559744685,-0.6307382115078164,0.9164898781075671,0.008122868437611543,0.00020254044017757903,0.10454989448462675,-1.789988962220009,0.07477753388304283,0.32588176042725076,-0.10140962389477151,-0.021772818305446258,-0.03533322302837495,-0.19505450213934838,0.808543072207086,0.3442509241251273,-0.28708533226527766,-0.3812235743275305,-2.137371849547899,-0.3231909120635278,1.745369947199903,1.4955122058416297,5.156692821984102,2.6935161658950593,-2.6354025306244986,-0.8003225741856049,-0.26688210126331585,-5.200384110768204,1.9212657374519082,1.6772915576860086,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7361081850409965,-0.6138715921322345,-0.8151664199776566,48.094306918971775,-5.662508915420647,-13.348197131851745,0.0006119658486904989,-1.553208381710469e-05,0.8914804085081734,0.006119658486904989,-0.00015532083817104692,0.3671795092142993,0.0,-0.0,-0.009319250290262815,-0.0,-3302.7513508876955
