,POS_1,POS_2,POS_3,POS_4,POS_5,POS_6,POS_7,POS_8,POS_9,POS_10,POS_11,POS_12,POS_13,POS_14,VEL_1,VEL_2,VEL_3,VEL_4,VEL_5,VEL_6,VEL_7,VEL_8,VEL_9,VEL_10,VEL_11,VEL_12,VEL_13,VEL_14,qw,qx,qy,qz,angular_vel_r,angular_vel_p,angular_vel_y,linear_acc_x,linear_acc_y,linear_acc_z,Motion_vec_1,Motion_vec_2,Motion_vec_3,Motion_vec_4,Motion_vec_5,Motion_vec_6,Motion_vec_7,Motion_vec_8,Motion_vec_9,Motion_vec_10,Motion_vec_11,Motion_vec_12,Motion_vec_13,Motion_vec_14,head_roll,head_pitch,head_yaw,com_roll,com_pitch,com_yaw,x_disp,y_disp,origin_disp,x_vel,y_vel,reward_forward,reward_healthy,reward_ctrl,reward_side,reward_unhealthy
0,0.005931427467505407,0.007004568838415384,0.029243923802309862,-0.021436943308589123,0.02232056669097747,-0.021806904846412872,-0.016889145309217216,-0.0065794758988931765,0.006338235156301345,0.02513612282192531,-0.007772274447778693,0.011415373622306414,0.007952640632563339,0.006848508022752872,0.007482331813892807,0.016043406478092943,0.04418253855260358,-0.0190682982109341,0.20278070507713852,-0.027286687352299163,0.5596569826474942,-0.038171228048776915,1.128772713055937,-0.030378330468748313,1.5378046009443544,-0.03301146463391152,1.0672080532251333,-0.008892728070029839,0.9993383740110134,-0.008141747844482124,-0.030550160764596355,-0.01797814919055936,-0.1560970188933948,-0.25063902582143344,0.05745468128194965,2.37598420901593,-0.21810162245737832,-0.7922218406537238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01628708783429136,-0.06111380028330414,-0.03596423035418378,-0.9009177052664852,-1.4267673699487395,-2.9186318901161252,-0.004747192243638343,-0.0055057687180082165,0.012074555124778934,-0.04747192243638343,-0.055057687180082165,-2.8483153461830057,0.0,-0.0,-3.30346123080493,-0.0
1,-0.10709561226227073,0.008206797763817338,-0.12149841664362883,-0.3460041860872986,-0.22329173094878155,0.023613428552481962,0.24463048147545122,0.10922070507627935,-0.048068030852743,0.24040697250140172,0.010614829124023891,-0.1507187090407462,0.03360374869050684,0.004282515836241903,-1.9864393111665355,-0.06114799443421333,-2.676197810320432,-5.624383360827494,-4.301144437513636,0.8596904103757075,4.908404391461329,2.4505233509500397,-0.1032109871672898,3.947365031206109,0.20224439936240632,-2.8028094582276895,-0.32038669791000346,-0.03077527504832353,0.9916496205349707,-0.004626520189456476,0.11861216597084356,0.05040614533457219,2.5360192596811513,3.954161385567702,2.6581013477160873,-6.165798534559277,-0.5813849063506535,-24.007520812232894,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.009278882181217469,0.23788684977764388,0.10109383826632923,-0.3289595773366486,0.6690175084867614,-1.7217098912818019,0.005341323946154053,-0.00960149260350033,0.01316688509829728,0.05341323946154053,-0.09601492603500329,3.2047943676924318,0.0,-0.0,-5.760895562100197,-0.0
2,-0.40106548959073945,0.014446579867999828,-0.28201673858102116,-0.8742940458928329,-0.7023403457066411,0.11066323869640043,0.598031550788954,0.34902766571217403,-0.012544222856046843,0.46597115578574677,0.044006107212982044,-0.3385191431036079,-0.0237054764304908,-0.21750983950498337,-3.586542372287898,0.13017584879975988,-0.826073517548519,-4.904967953242252,-5.034470197444377,1.0825234150775613,2.805395019033197,2.390811512067288,0.7458404559057437,0.8954977559391812,0.13517394908365407,-1.161078377224993,-0.7940225708220778,-3.7314710545953473,0.9181393810225438,0.09914653094697207,0.3315735681123427,0.19300002939370534,2.504876137963289,3.770227693168831,4.485446926225411,-1.3815907084189485,-0.6606736480045439,-11.200240034753456,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.20388748263992795,0.6818564347805741,0.3968902367704721,12.060733153055486,1.7279406214195965,-1.9198106408725897,0.0023460264678541454,-0.013876816891749006,0.06171010674664315,0.023460264678541454,-0.13876816891749005,1.4076158807124872,0.0,-0.0,-8.326090135049403,-0.0
3,-0.5882712431585634,-0.008597702747292591,-0.4914400658554254,-1.338206270282506,-1.125674337247302,0.3941803456982099,0.7471835708390849,0.6829778067571373,0.05309664546139485,0.4100360501966349,0.04684404401274781,-0.39728897474066316,-0.10855412901706367,-0.44253872312202935,-0.6868733007830324,-0.7674886369269371,-3.490155018245166,-0.9830421042541864,-4.011514291670907,3.4665227045507994,0.6033572666094199,3.434824878616589,0.4489169260177387,-1.6453636075531888,-0.2412055112697587,-0.15683528120753049,-0.8862412609254385,-1.1587513167009973,0.791680805000412,0.30785726762220245,0.36350285736269156,0.3825324541202356,3.1285813664779454,0.7575109794997488,3.107489277272056,7.4380825253788885,24.63399733918706,33.446826450997875,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.662382876301261,0.7821094173391601,0.8230533233657142,33.812375501365466,2.8213899387433767,-3.6153262734602216,-0.009311333281364909,-0.01735977391886134,0.13209298112746712,-0.09311333281364909,-0.17359773918861338,-5.586799968818945,0.0,-0.0,-10.415864351316802,-0.0
4,-0.5952570244220831,-0.17443812554095567,-0.8865163958503187,-1.3115230660356274,-1.2301442083857956,0.7588058230269619,0.8916597757470827,0.9496128846795938,0.10503066558672859,0.28964777792902263,-0.009526525822807351,-0.4237247328964318,-0.1896352228691564,-0.548637971291854,0.25480955546256523,-2.0149654497545546,-4.252342299971045,0.08098866671207373,0.683846699703169,4.143447673607882,1.3842789308675005,2.5314952075700936,0.27926153920912455,-0.6525775096549682,-0.7124578347621384,-0.5269214443917202,-0.7227448401509604,-1.0582617839879407,0.7639242305937491,0.3408437068412754,0.37496547418823317,0.39955754352188183,-0.23376412548186776,-0.3356511110115771,0.1011487562767227,-9.283119124810474,3.7776419685363547,2.1363667534734296,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.7409690196454649,0.8151472191902194,0.8686085597972577,32.97449891331143,1.4083635811636532,-5.166037244588618,0.004747498874212996,-0.006186324084319926,0.16534739947989,0.047474988742129964,-0.06186324084319926,2.848499324527798,0.0,-0.0,-3.7117944505919556,-0.0
5,-0.56660501790453,-0.45766788995615004,-1.3169603003157933,-1.3093936656041094,-1.0304389049429115,1.1980065507748674,1.0470070749412757,1.1788274680335706,0.18667225266351842,0.12886429384977205,-0.32694106295724895,-0.525361350278291,-0.16669502956194418,-0.8926143978854642,0.45099312273441206,-3.6017387660237876,-3.7342929217974326,-0.03122126533929222,2.79982519305129,4.7674522129897925,2.2185284014652993,1.9090957541648856,1.4977113967455575,-2.3193861224338437,-4.87655003631614,-1.23790210271922,0.8240958666668081,-5.096221046380407,0.763610808733819,0.3529576351681285,0.34416064785606204,0.4169806818411389,-0.7443530179276454,-1.4539811030253045,1.2670659063095402,-9.647402501358616,3.3904999128110136,54.778044273748804,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.7673939503331362,0.7482677035210464,0.9065916721088986,34.094625177109826,-0.6140980870396291,-7.364913973817415,0.0011206350699557444,-0.008717745270135762,0.21377673706034028,0.011206350699557444,-0.08717745270135761,0.6723810419734466,0.0,-0.0,-5.230647162081457,-0.0
6,-0.5524766097401282,-0.6354085030390869,-1.3117666603183666,-1.3106825784634144,-0.8380145637256392,1.3106538643819505,1.2319490379985358,1.3183886335468054,0.3015265337867727,0.04676395654668215,-0.6371852450374699,-0.6487537456757746,-0.097168969502497,-1.1980491030312936,0.012180253999803851,-0.4527982372977258,0.06492064781411402,0.001001697105795337,1.381020725538549,-0.30940094513243155,1.8463791079376914,-0.253912675947627,1.0457720289367318,0.6213123491720988,-1.6504220038707476,-1.1823050678431606,0.6570844304189597,-1.5733866163738728,0.812559527670602,0.3410462178653085,0.2615369305347843,0.3937422065742261,-0.8079836977026206,-0.5703806112281337,-0.20990043542875292,-0.8767792652943927,1.0721595446015928,-0.10987575364636903,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.7281850168513005,0.5584207189300185,0.8406988856934225,38.94057947325394,-2.279299904190152,-8.825668024951726,0.0027201920396265344,-0.012567813645182033,0.23588627665823378,0.027201920396265344,-0.12567813645182033,1.6321152237759207,0.0,-0.0,-7.54068818710922,-0.0
7,-0.7707222392162807,-0.7914918370625146,-1.3100683376387683,-0.9846109353737853,-0.47625018100041006,1.310573324259064,1.3143072203426787,1.3079500272872133,0.3444900618952111,-0.29880611020494113,-0.7226246494888835,-0.7324265621103405,-0.04760048210692195,-1.3189604119380747,-3.70528395755837,-2.6078215661434823,-0.008517306883146515,4.988015866376297,4.355364846104426,-0.002798238532875273,-0.1450052216707345,-0.17941998380259977,0.5963281689338189,-6.707663193255313,-0.3421711836828742,-0.3773530610548938,0.249806288623672,0.2864754638557739,0.7832262276331328,0.38849024109205615,0.27777855850619704,0.3980842641426904,0.39360014278518485,1.1437278701999276,1.5352352699873362,5.555228895028625,17.495604445511173,4.378856831849966,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8384922190844538,0.5995392812988336,0.859199338148913,42.410215744222924,-3.8589898439412975,-13.76002651490245,0.00045393858859604785,-0.01143781491347403,0.2563465075831321,0.0045393858859604785,-0.1143781491347403,0.2723631531576287,0.0,-0.0,-6.862688948084418,-0.0
8,-0.9986772205110803,-1.3406475223414576,-1.2918058670322534,-0.35766762961236337,-0.27006304042453577,1.2939537595115977,1.309879056938342,1.3013409973667505,0.5137805753965781,-0.7317689034683164,-0.7026032561959914,-0.7739302511952431,-0.014755672791934517,-1.310039179832872,-1.215242942714962,-3.990253883332508,0.4084321841971201,7.015721465781921,0.5950384068058079,-0.27353119117162905,0.0030812101172044562,0.02263867709465682,2.253816446023334,-1.9811469424828065,0.35939158275505323,-0.37392190033532446,0.46866847010822676,0.012463097750051538,0.7590617370482493,0.36479327100986464,0.05529280794688866,0.5363710042168259,-2.8501681781492074,-4.009610516578422,2.1787045210080684,-4.224982022241389,-36.51376724308373,0.7418737048927744,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7944820231397244,0.12042201820529856,1.1681605842234575,37.087708421266676,-13.032960244682569,-15.226522069016065,-0.002785736151300011,0.0009508062705023898,0.2976623091543092,-0.027857361513000112,0.009508062705023898,-1.6714416907800067,0.0,-0.0,-0.5704837623014338,-0.0
9,-1.1205837617168237,-1.3126802483609523,-1.3122610030228952,0.21590545014386212,-0.09968584896533675,1.3103199281146518,1.3100726358000332,1.3089322496454787,0.6436190115975826,-0.8798245986028923,-0.669552288148093,-0.8411161018687006,0.013430196339441355,-1.3060840820791713,-1.2814546543957601,0.11465266793926196,0.07189114660568706,4.4890125704629735,2.460996239293399,0.09148193768079295,0.003255817826255833,0.026598728080915512,0.4015146024278627,-1.2504038664297301,0.6756441044318415,-1.0116118198901893,0.5850228715627176,0.0549178155370447,0.7541111285422464,0.47261383650222905,-0.04429088679176804,0.4538621869054333,-0.003504373496088453,-1.9982465552123818,-1.0138669175424584,16.1332420751736,16.651084569446322,7.937190685210885,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0312231117346116,-0.09664081449015517,0.9903078169339405,32.26515683184575,-19.712843717965455,-18.55036553795443,-0.0032045887408130858,0.006714810924832254,0.329174138506908,-0.03204588740813086,0.06714810924832254,-1.9227532444878515,0.0,-0.0,-4.028886554899352,-0.0
