,POS_1,POS_2,POS_3,POS_4,POS_5,POS_6,POS_7,POS_8,POS_9,POS_10,POS_11,POS_12,POS_13,POS_14,VEL_1,VEL_2,VEL_3,VEL_4,VEL_5,VEL_6,VEL_7,VEL_8,VEL_9,VEL_10,VEL_11,VEL_12,VEL_13,VEL_14,qw,qx,qy,qz,angular_vel_r,angular_vel_p,angular_vel_y,linear_acc_x,linear_acc_y,linear_acc_z,Motion_vec_1,Motion_vec_2,Motion_vec_3,Motion_vec_4,Motion_vec_5,Motion_vec_6,Motion_vec_7,Motion_vec_8,Motion_vec_9,Motion_vec_10,Motion_vec_11,Motion_vec_12,Motion_vec_13,Motion_vec_14,head_roll,head_pitch,head_yaw,com_roll,com_pitch,com_yaw
954,-1.3098795210747374,-0.5697695855597529,-0.6503637982148612,1.0311515153717803,1.3104189603963738,0.7594253634273873,0.6146231509139704,-1.309551374390562,-0.8627477845639683,-0.8789132773726243,-0.8229401694697674,1.3098111963831813,1.2734710011865615,0.5652941647221293,-0.0019507282023586885,0.7593107204343638,2.4492654757233967,1.5440191757652488,0.004298942664987005,-2.240020857395891,-1.3429835978670273,0.0027516173155237426,-0.3815247422193089,0.5689252875141242,1.3544369014951099,0.00014201516592002826,1.9954357000866834,-2.3459539871454753,0.6872431765662592,0.4309529158478688,0.46512556877373346,0.3544497226099189,0.22166598280671707,-0.8987465043506102,-0.6295293235533069,-5.355798570900647,16.296875122677797,3.0871098985411356,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.9647536664533041,1.0412543489879647,0.7934896293450081,10.474771558131033,9.437803579351886,13.91930719922591
955,-1.309867763761529,-0.5060009092651869,-0.37253824340194197,1.1627839965395668,1.3103199519577124,0.5407232313317191,0.4878667563196179,-1.3095624081508566,-0.8842716893814097,-0.8360791532452313,-0.6890622672155192,1.3098220729416925,1.3113341381253651,0.3282593259924171,-0.0005321546484728327,0.5902068990938619,3.0740000011725663,1.0748885218555837,0.0002407027726407298,-2.113871279738148,-1.2749253877665327,-0.00031976730360258284,-0.12149699308635468,0.41808160156941104,1.4361371619260794,0.0006977640391857857,-0.06687975139496394,-2.385499107158523,0.714058356316602,0.4418548189410741,0.45006338188854483,0.30385512178673113,0.2106195541250109,-1.0639464847900986,-0.7423768651104292,-6.945436729227731,16.179750629906785,3.408652412703744,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.9789264669127172,0.9971124845369129,0.6731890387364687,9.946069164667225,9.256887284049649,14.236548949806075
956,-1.3098279468690475,-0.44771074568804464,-0.039416034741606695,1.2387168085717077,1.3100541707028188,0.3318024368143806,0.3527455722023091,-1.3095735080128779,-0.8873863146574695,-0.7883740200592524,-0.528829450966296,1.3097986538423514,1.3096344933082875,0.08820271045327442,0.001798557808969126,0.5994716301057368,3.582336081295561,0.41050793978659456,-0.0026097286773195507,-2.0578619462554495,-1.4538486446711358,0.0012683924396471229,0.06992455818146384,0.5317202176734916,1.767692228038571,-0.000785332981807386,-0.002232791967503719,-2.4157133202010206,0.7405874261146277,0.45357827903682535,0.42569794472629086,0.2541225470569556,0.2920165075597312,-1.10155764600233,-0.4715271008173977,-8.870264561893014,17.970021980626626,5.161374575838359,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.9947620106236152,0.9336164516376345,0.5573270756967789,12.650049490937876,9.725064789537708,15.51376360879832
957,-1.3097725283362012,-0.394528802468823,0.3384507177583075,1.2443855210863677,1.3097232392202678,0.13983064746443194,0.1934915048157316,-1.3096135664347814,-0.8814447227794521,-0.7183951233431769,-0.3302206897884705,1.3097140620030494,1.309639112113293,-0.1540848405054016,8.094382627097871e-05,0.3995273950774581,3.9016662082420495,-0.37887677947543746,-0.0011434982932072377,-1.7350932705770312,-1.865247352063341,-0.0009040226397772594,0.05176615074281296,0.7759923965214757,2.247196937137243,-0.0011701431837836185,0.0014398947691822406,-2.423306008275953,0.7424128965146997,0.5024939310785516,0.3835709334589899,0.22180234291656376,1.1232601946223162,-1.208451733806644,1.0013810140774897,1.1838194755562692,-4.373324311602054,-1.9843950757017608,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.1012782536558825,0.8406436409016833,0.48610755624380275,23.94666286495884,11.883946706245943,18.19293603472346
958,-1.3096015670526264,-0.3348303444043102,0.6488491326018995,1.2230138523441871,1.3095189514103929,0.019761514757676103,-0.04273478462122625,-1.2894465548510572,-0.998525884969374,-0.5848419380875288,-0.08373346881624913,1.309623316000006,1.3095190389788092,-0.3919534072351186,-0.00023040690766438186,0.5758273521317451,2.6130956827998353,-0.5019269131096699,-0.0013813445969717126,-1.2920419043086502,-2.6189228784548697,0.32021451343554974,-1.1484045786697537,1.5026144627285178,2.913077177493146,-0.0006243373728460444,-0.0023016659740340835,-2.3501359290369987,0.7444774250992119,0.5298853042381392,0.36816597531174444,0.171548076330964,-1.0419118601878896,-0.9829587867689771,-1.1766949872492862,0.09483364500898116,-3.4353090947699267,-2.157569169740735,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.1604017979057766,0.8062508174174275,0.37567506516894283,34.25907552530802,13.383455132914477,20.00170459436135
959,-1.3095621769159342,-0.2818103324908196,0.8886880816812968,1.1802027164072912,1.3092061298823594,-0.08883528216743047,-0.29295095182633263,-1.2972798525930758,-1.116335297379466,-0.4030933264462666,0.2146778139362598,1.3096237057389386,1.3095734973785524,-0.6270300339968216,0.0017831035150842034,0.4476123369070164,2.07586209861778,-0.4730556019711517,-0.0031650490423837012,-0.9325348251602651,-2.3333881159431185,-0.11720100948922584,-1.1548232047557534,2.073218366425584,3.1272522396343785,-1.1422964712405202e-05,-0.003133188291565702,-2.353172545023441,0.7707096469219206,0.5139013713012716,0.3529182678048013,0.13176007348897462,-0.08375554522576478,-0.7761351295393433,-0.4488512847875462,-3.810949725882988,-1.1022129994701215,-0.682826076561139,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.114351149772338,0.7652730649620842,0.28571044481694946,37.13789463076863,14.741738535329734,21.094724681076052
960,-1.3096057442206424,-0.22870857219557666,1.0800509376066323,1.1591073025022318,1.309283546814265,-0.17866618156329087,-0.50048469638943,-1.3109363487628511,-1.2155640572487256,-0.18042906597621358,0.5311425037576989,1.3094575294514266,1.309586224905549,-0.8620918788898514,-0.00380436694699876,0.6456259367206632,1.767117324761692,0.09269748540547808,0.0019310830493941547,-0.9092726465895766,-1.9506105591629035,0.05065106077915142,-0.94439406098592,2.28080817540669,3.1434295675678987,-0.001229570370923811,-0.0007400191941070436,-2.3535872127861737,0.7799481479580175,0.5210816426616304,0.33584407421624496,0.08581122299413443,0.8642567236955538,-0.6787070718189914,-0.7582320749824292,-4.162974512704122,28.122292140428833,5.820917437807993,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.1260387342266742,0.7257469948400398,0.1854349741226704,39.96219296814722,16.134358217404376,21.396482074962446
961,-1.3096131305355605,-0.1759035339703252,1.2425931580187477,1.158446182312885,1.3068136524515261,-0.26879643070885184,-0.68334737867801,-1.3093596080052468,-1.2734603512339968,0.04262795816874015,0.8363716458328213,1.3095467563598344,1.3095693020756907,-1.0975585708650097,0.0008718800518171708,0.39609728203437095,1.630805340102022,-0.2441340258391082,-0.1659849761968995,-0.8453863351611186,-1.719552665152023,0.00017299107403339828,-0.003854364289416018,2.1358539684215754,2.0862337341153565,0.020698038674899163,0.00012679734471526566,-2.3711962545171934,0.784929891326584,0.5315879625660026,0.3160682301114566,0.037418948023358045,-0.25158966273005307,-0.8511414090267628,-0.45816075711506843,-0.006697310518010494,-8.566682925195199,-2.6454303309548526,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.1466204446909556,0.6817503782698698,0.08071162976547532,41.80232687089237,17.374224432274495,21.136856006273256
962,-1.3096337918274605,-0.1397939803087389,1.314464686271539,1.1476259131192372,1.3108821522408425,-0.29576075211971703,-0.8639471183034175,-1.3096601452315462,-1.2417172022817256,0.2412158599584359,0.974549602847263,1.3098192247923732,1.3096162956928263,-1.31967019487404,-0.0012915346881207232,0.44449350744450683,-0.15250463131853292,-0.06074661715045271,-0.041999601723930594,0.1846272336797185,-2.1964985798926357,0.002418578842901858,0.6256733992195489,1.5201074994656083,0.9845912885119834,-0.0004196033361989779,-0.00023996983526229887,-0.5652647509709663,0.7893234211128499,0.5266040901178339,0.31479702138300925,0.023653847092179454,-0.6018861981845024,0.3945601458432194,-0.26528427575989255,-9.351670359798694,18.536090561491207,5.3874232744760855,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.1340241579662464,0.6779047747697314,0.05093776241914292,42.5778915518958,18.704371442359605,21.932135671995635
963,-1.3096025036306218,-0.10270221195511432,1.3097880312189039,1.1514313160199465,1.3092596469374267,-0.2662966734678751,-1.0526602309392894,-1.309004373329093,-1.180931627775075,0.3940497723791098,1.0495571369508139,1.3098034134336216,1.309619687106019,-1.3103173933967875,-0.002266682693817762,0.47032964965656787,-0.009955622018011827,0.2568576265578564,0.007227538613531005,0.04927741223415538,-1.6113575295590539,0.04199519154540407,0.42934608827251536,1.6587692317815161,0.6395324987730024,-0.0018609388792411006,0.0012908646021996997,0.025997470281204485,0.7976211078201115,0.5062779219962669,0.32653633469061993,0.029278937579356023,0.011884653163009837,0.3496808745322809,-0.3699991084989195,-8.754112112605608,17.346853107801376,7.998675331499022,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0869191291297693,0.7010350898409757,0.06285843398052261,42.84936337952968,19.06322585916863,24.0514285109621
