Thu Sep  9 10:02:22 2021,2,38.00008606359805,4.000011815223001,6.999900190361684,29.99993125891051,151.20172376228072,8.999996544649715,1.0000008123710085,1029.696650509748
Thu Sep  9 10:02:42 2021,2,46.42396948354604,95.68634617441468,7.948869373090723,46.43311793717936,163.46781943837723,8.068788624844835,2.0188296989869343,3416.391359345924
Thu Sep  9 10:03:03 2021,2,7.851790316719393,82.18117447073553,1.996819028209044,53.71247202995443,109.959648306779,3.7803471113207676,1.017752862526088,1844.8575964906327
Thu Sep  9 10:03:24 2021,2,61.39500207075829,262.9793565840707,-4.062460224444296,78.113096867688,161.15003998610956,2.000943592225764,1.0160056632679377,7343.49756954818
Thu Sep  9 10:03:43 2021,2,70.45092791824058,44.51784731958277,-3.035227830930971,53.6226175096004,270.1380027567482,4.027932986069752,1.0,4276.695771744768
Thu Sep  9 10:04:02 2021,2,58.349990353141315,102.7609769430221,-8.2208757708794,73.86606147015019,329.0928331021743,1.0006207058419299,2.8899718950542863,6505.650811719637
Thu Sep  9 10:04:20 2021,2,36.50210249413462,254.1143317361607,9.136122130895217,34.205355311322734,21.629471477077676,7.8774962660042345,3.0679075215140887,943.2491757883018
Thu Sep  9 10:18:26 2021,2,68.40506168018209,217.40569967441192,5.0752007293168155,29.53085434629928,257.0420528575501,7.112808797595653,1.0042710444289007,6686.923229702416
Thu Sep  9 10:18:45 2021,2,65.13367600421998,8.98685808234644,10.0,46.81162554121104,77.01260404608357,-4.9864428036712285,1.0059042815843604,3900.952184761021
Thu Sep  9 10:19:02 2021,2,42.97123926981388,162.21707535478743,0.9725812049744103,66.3099146897124,163.6230572111146,2.9957296890048184,3.0471321549011217,1469.2201621245244
Thu Sep  9 10:19:22 2021,2,40.51298480031318,288.1776703908912,1.0234844117314625,11.898548364052719,277.6844567613707,-9.075367718143996,1.0,2134.727723218384
Thu Sep  9 10:19:42 2021,2,61.79363757649973,143.4571180137804,6.073558273229409,25.703296280361144,192.62670591367558,-2.022181184780609,3.0451313057551195,3921.004691328132
Thu Sep  9 10:19:59 2021,2,48.680737668920116,149.31749167564394,0.956200185317144,89.34713701364075,28.837203672845078,-3.8016459196893306,2.0368126409020597,1454.2428068392258
Thu Sep  9 10:20:19 2021,2,58.08425258874355,304.79182258261324,-4.929043687717148,38.87685216686828,59.92154023047195,-1.0215618259718242,1.021113196959973,5026.377341550084
Thu Sep  9 10:20:45 2021,2,8.290098040114266,79.77213880858957,3.773978596268676,71.08267420648554,207.06476051265193,7.0882116398528225,1.0316821770351488,5667.446730001389
Thu Sep  9 10:21:06 2021,2,18.47662119351277,271.01261756428164,-1.9765422431421888,3.0900453280058375,258.9272172616855,-3.949067379827792,1.0259742252904065,54.74365950516852
Thu Sep  9 10:21:31 2021,2,21.116391922668804,284.6822760169484,9.056886502020307,49.70274629863558,83.9602063877741,8.983668980214578,2.9816494189967706,11906.9073611757
Thu Sep  9 10:21:49 2021,2,20.241136607620057,278.238126364831,-6.649109639108053,48.595787535335695,15.174386597206396,1.0078266675197058,1.0105507273845658,4645.677340048093
Thu Sep  9 10:22:10 2021,2,54.03696678624722,53.04312456309725,-10.0,4.991282287888801,264.3615144713998,-5.302402664490954,1.0039331703750514,286.538676520317
Thu Sep  9 10:22:28 2021,2,88.73619897623254,143.11098823887733,-3.942545569956122,9.115092226578912e-05,103.8799282702562,-2.0366264294487517,3.0557925350077575,-624773771598545.6
Thu Sep  9 10:22:47 2021,2,60.069237093573754,8.988797628519766,-6.91582000181456,7.230412612577562,152.10898053532964,2.117522769114037,1.0023346435896725,728.6366275736036
Thu Sep  9 10:23:03 2021,2,89.98744068053513,127.11186661695132,-6.000458980882469,76.003804472657,270.9719371602383,2.5812245574362973e-06,3.0027429538937387,15781.432620599418
Thu Sep  9 10:23:22 2021,2,19.97808328585142,144.6008046535962,-2.890090459291009,49.37847361119955,60.64767030454145,5.219487788037052,2.9246682064655323,10164.847842545749
Thu Sep  9 10:23:41 2021,2,34.85,4.0,-2.0,54.0,318.0,3.0,2.0,4325.477344755662
Thu Sep  9 10:24:04 2021,2,12.631201302302639,65.93079292592654,-3.113087403398002,12.37011696453553,322.6589090682891,-2.9734490266420526,1.0090035693833996,297.3025868036763
Thu Sep  9 10:24:23 2021,2,47.50065014452871,353.7491455782299,5.039553849611904,44.02673090191209,179.06255577219792,-7.0305481729711214,3.025934063984617,5677.678649044367
Thu Sep  9 10:24:44 2021,2,37.80594302265831,135.37438139949103,-7.978947420500914,15.085993568803532,108.8607988869993,-5.066967491657401,1.0,1742.693875174202
Thu Sep  9 10:25:02 2021,2,36.60336873212365,80.08501308558237,-3.0032027500703617,30.44304542000099,165.43276345985163,8.021351694490267,3.024831650228612,3790.1291797684044
Thu Sep  9 10:25:20 2021,2,49.755756490833285,183.9905497454371,-4.803174844456101,19.32524135532271,169.50486380082964,-3.114591973190511,2.0155558435648473,489.52111033503144
Thu Sep  9 10:25:39 2021,2,29.892032382882313,56.70683679978121,3.0674499963955095,38.147819420452734,284.79905543909837,5.078846697828377,2.951288493020685,3245.239441129111
Thu Sep  9 10:25:59 2021,2,21.678565667085902,9.176805504668273,0.9713936865919572,49.652960780308234,184.38754268369286,-10.0,3.0333873707261176,9125.673675984448
Thu Sep  9 10:26:20 2021,2,10.297760175703168,221.39518545860278,10.0,25.22781031523918,154.1836194486134,-9.064582944247487,2.9492463155605186,6721.64736991229
Thu Sep  9 10:26:38 2021,2,77.53352235958687,10.85743337444836,3.027550250837021,78.39356862409338,278.30188102412114,2.8722464435196726,2.0371011200847926,7145.973483388402
